Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Bakerloo ,Southbound,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.5,2.5
Bakerloo ,Southbound,KENTON,SOUTH KENTON,1.4,1.88,2,2
Bakerloo ,Southbound,SOUTH KENTON,NORTH WEMBLEY,0.9,1.5,1.5,1.5
Bakerloo ,Southbound,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06
Bakerloo ,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13
Bakerloo ,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.4,2.4
Bakerloo ,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo ,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.5,2.47,2.5,2.5
Bakerloo ,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo ,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.5,1.5
Bakerloo ,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2,2
Bakerloo ,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.5,1.5,1.5
Central ,Eastbound,WEST RUISLIP,RUISLIP GARDENS,2.04,2.28,2.57,2.5
Central ,Eastbound,RUISLIP GARDENS,SOUTH RUISLIP,0.86,1.3,1.5,1.5
Central ,Eastbound,SOUTH RUISLIP,NORTHOLT,2.28,2.23,2.58,2.5
Central ,Eastbound,NORTHOLT,GREENFORD,1.78,1.93,2,2
Central ,Eastbound,GREENFORD,PERIVALE,1.69,1.85,2.33,2.25
Central ,Eastbound,PERIVALE,HANGER LANE,2.1,2.1,2.25,2.26
Central ,Eastbound,HANGER LANE,NORTH ACTON,2.49,2.85,3.44,3.48
Central ,Eastbound,WEST ACTON,NORTH ACTON,1.77,2.3,2.86,3.26
Central ,Eastbound,NORTH ACTON,EAST ACTON,1.11,1.5,1.75,1.75
Victoria,Southbound,WALTHAMSTOW,BLACKHORSE ROAD,1.45,2.12,2,2
Victoria,Southbound,BLACKHORSE ROAD,TOTTENHAM HALE,1.37,1.9,2.36,2
Victoria,Southbound,TOTTENHAM HALE,SEVEN SISTERS,1.05,2,2.77,3.28
Victoria,Southbound,SEVEN SISTERS,FINSBURY PARK,3.15,3.77,4,4
Victoria,Southbound,FINSBURY PARK,HIGHBURY,1.93,2.9,2.89,2.55
Victoria,Southbound,HIGHBURY,KINGS CROSS,2.45,2.77,3.5,3.5
Victoria,Southbound,KINGS CROSS,EUSTON,0.74,1.32,1.92,1.5
Victoria,Southbound,EUSTON,WARREN STREET,0.76,1.3,1.5,1.5
Victoria,Southbound,WARREN STREET,OXFORD CIRCUS,0.9,1.72,2.44,2
Victoria,Southbound,OXFORD CIRCUS,GREEN PARK,1.14,1.78,2,2.04
Victoria,Southbound,WALTHAMSTOW,BLACKHORSE ROAD,1.45,2.12,2,2
Victoria,Southbound,BLACKHORSE ROAD,TOTTENHAM HALE,1.37,1.9,2.36,2
Victoria,Southbound,TOTTENHAM HALE,SEVEN SISTERS,1.05,2,2.77,3.28
Victoria,Southbound,SEVEN SISTERS,FINSBURY PARK,3.15,3.77,4,4
Victoria,Southbound,FINSBURY PARK,HIGHBURY,1.93,2.9,2.89,2.55
Victoria,Southbound,HIGHBURY,KINGS CROSS,2.45,2.77,3.5,3.5
Victoria,Southbound,KINGS CROSS,EUSTON,0.74,1.32,1.92,1.5
Victoria,Southbound,EUSTON,WARREN STREET,0.76,1.3,1.5,1.5
Victoria,Southbound,WARREN STREET,OXFORD CIRCUS,0.9,1.72,2.44,2
Victoria,Southbound,OXFORD CIRCUS,GREEN PARK,1.14,1.78,2,2.04
Victoria,Southbound,GREEN PARK,VICTORIA,1.09,1.88,2.5,2.54
Victoria,Southbound,VICTORIA,PIMLICO,1.19,1.83,2,2
Victoria,Southbound,PIMLICO,VAUXHALL,0.8,1.4,1.5,1.54
Victoria,Southbound,VAUXHALL,STOCKWELL,1.77,2.3,2.94,2.52
Victoria,Southbound,STOCKWELL,BRIXTON,1.46,2.03,2.5,2.5
Victoria,Northbound,BRIXTON,STOCKWELL,1.46,2.18,2.45,2
Victoria,Northbound,STOCKWELL,VAUXHALL,1.77,2.23,2.5,2.5
Victoria,Northbound,VAUXHALL,PIMLICO,0.8,1.37,1.5,1.5
Victoria,Northbound,PIMLICO,VICTORIA,1.19,2.18,2.97,2.51
Victoria,Northbound,VICTORIA,GREEN PARK,1.09,1.95,2,2
